ranking,title,artist,year,artist_first,lyrics_url,lyrics
13,You Found Me,The Fray,2009,The Fray,https://www.azlyrics.com/lyrics/fray/youfoundme.html,"

[Verse 1]
I found God
On the corner of First and Amistad
Where the west
Was all but won
All alone
Smoking his last cigarette
I said, ""Where you been?""
He said, ""Ask anything.""[Verse 2]
Where were you
When everything was falling apart?
All my days
Were spent by the telephone
That never rang
And all I needed was a call
That never came
To the corner of First and Amistad[Chorus:]
Lost and insecure
You found me, you found me
Lyin' on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you? Where were you?
Just a little late
You found me, you found me[Verse 3]
In the end
Everyone ends up alone
Losing her
The only one who's ever known
Who I am
Who I'm not, who I wanna be
No way to know
How long she will be next to me[Chorus:]
Lost and insecure
You found me, you found me
Lyin' on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you? Where were you?
Just a little late
You found me, you found me[Bridge]
Early morning
The city breaks
I've been callin'
For years and years and years and years
And you never left me no messages
You never send me no letters
You got some kind of nerve
Taking all I want[Chorus 3 and outro]
Lost and insecure
You found me, you found me
Lyin' on the floor
Where were you? Where were you?
Lost and insecure
You found me, you found me
Lyin' on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you? Where were you?
Just a little late
You found me, you found me
Why'd you have to wait?
To find me, to find me
"
14,Use Somebody,Kings Of Leon,2009,Kings Of Leon,https://www.azlyrics.com/lyrics/kingsofleon/usesomebody.html,"

I've been roaming around
Always looking down at all I see
Painted faces, fill the places I can't reach
You know that I could use somebody
You know that I could use somebody
Someone like you, and all you know, and how you speak
Countless lovers under cover of the street
You know that I could use somebody
You know that I could use somebody
Someone like you
Off in the night, while you live it up, I'm off to sleep
Waging wars to shape the poet and the beat
I hope it's gonna make you notice
I hope it's gonna make you notice
Someone like me
Someone like me
Someone like me, somebody
I'm ready now [x7]
Someone like you, somebody [x3]
I've been roaming around
Always looking down at all I see
"
15,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,2009,Keri Hilson,NA,NA
16,Blame It,Jamie Foxx Featuring T-Pain,2009,Jamie Foxx,https://www.azlyrics.com/lyrics/jamiefoxx/blameitonthealcohol.html,"

Blame it on the Goose
Got you feeling loose
Blame it on 'trón
Got you in the zone
Blame it on the alcohol
Blame it on the alcohol
She say she usually don't
But I know that she front
'Cause shawty know what she want
But she don't wanna seem like she easy
I ain't saying what you won't do
But you know we probably gon' do
What you been feeling deep inside
Don't lie now
Girl what you drinking?
Gon' let it sink in
Here for the weekend
Thinking
We can
See what we can be if we press fast forward
Just one more round and you're down I know it
Fill another cup up
Feeling on yo butt what?
You don't even care now
I was unaware how fine you was before my buzz set in, my buzz set in
Blame it on the Goose
Got you feeling loose
Blame it on 'trón
Got you in the zone
Blame it on the alcohol
Blame it on the alcohol
Blame it on the vodka
Blame it on the Henny
Blame it on the Blue Tap
Got you feeling dizzy
Blame it on the alcohol
Blame it on the alcohol
Oh see
She spilled some drank on me
And now I'm knowing she's tipsy
She put her body on me
And she keep staring me right in my eyes
No telling what I'm gon' do
Baby I would rather show you
What you been missing in your life
When I get inside
Girl what you drinking?
Gon' let it sink in
Here for the weekend
Thinking
We can
See what we can be if we press fast forward
Just one more round and you're down I know it
Fill another cup up
Feeling on yo butt what?
You don't even care now
I was unaware how fine you was before my buzz set in, my buzz set in
Blame it on the Goose
Got you feeling loose
Blame it on 'trón
Got you in the zone
Blame it on the alcohol
Blame it on the alcohol
Blame it on the vodka
Blame it on the Henny
Blame it on the Blue Tap
Got you feeling dizzy
Blame it on the alcohol
Blame it on the alcohol
T-pain
Girl I know you feel good
Dancing like you look
Couple more shots
You open up like a book
I ain't tripping
('cause I'm a read ya)
Shawty I ain't tripping
(I just want to please ya)
I'm a take a shot of nuvo
Shawty then you know
It's goin' down we can go and kick it like judo (judo)
You know what I mean
Shawty got drunk thought it all was a dream
So I made her say ah ah ah
Now she got her hand on my leg
Got my seats all wet in my ride (all wet in my ride)
All over my ride (all over my ride)
She look my dead in the eye eye eye
Then my pants got bigger
She already knew what to figure
Had her looking her boyfriend like fuck that nigga
Blame it on the Goose
Got you feeling loose
Blame it on the 'trón
Got you in the zone
Blame it on the alcohol
Blame it on the alcohol
Blame it on the Vodka
Blame it on the Henny
Blame it on the Blue Tap
Gotcha feeling dizzy
Blame it on the alcohol
Blame it on the alcohol
Now to the ballers popping bottles
With their Henny in their cups
Screaming money ain't a thang
If it ain't throw it up in the sky (sky)
And hold your dranks up high (high)
And to my independent mamas
Who can buy their own bottles
If you looking like a model
When them broke fellas holla
Tell them bye (bye)
Hold your drinks up high (high)
You can blame it on the Goose
Got you feeling loose
Blame it on the 'trón
Got you in the zone
Blame it on the alcohol
Blame it on the alcohol
Blame it on the Vodka
Blame it on the Henny
Blame it on the Blue Tap
Gotcha feeling dizzy
Blame it on the alcohol
Blame it on the alcohol
"
17,I Know You Want Me (Calle Ocho),Pitbull,2009,Pitbull,https://www.azlyrics.com/lyrics/pitbull/iknowyouwantmecalleocho.html,"

It's Mr. 305 checkin' in for the remix
You know that is 75 Street Brazil?
Well this here is gon' be called Calle Ocho
Que Bola Cata, Que Bola Omega
And this how we gon' do it, dale
One-two-three-four 
Uno-do'-tres-cuatro 
I know you want me (want me) 
You know I want you (want you) 
I know you want me 
You know I want you (want you) 
I know you want me (want me) 
You know I want you (want you) 
I know you want me 
You know I want you (want you) 
One-two-three-four 
Uno-do'-tres-cuatro 
Rumba (si) 
Ella quiere su rumba (como?) 
Rumba (si) 
Ella quiere si rumba (como?) 
Si e' verdad que tu ere guapa
Yo te voy a poner gozar 
Tu tienes la boca grande 
Dale ponte a jugar (como) 
One-two-three-four 
Uno-do'-tres-cuatro 
6 to the clock, on my way to the top uh
Pit got it locked from goons to the locks
R.I.P. uh, BIG and Pac
Oh, that he's not, but damn he's hot
Label flop but Pit won't stop
Got her in the cockpit playin' with Pit's (como?) 
Now watch me make a movie like Albert Hitchcock
Enjoy me 
I know you want me (want me) 
You know I want you (want you) 
I know you want me 
You know I want you (want you) 
I know you want me (want me) 
You know I want you (want you) 
I know you want me 
You know I want you (want you) 
One-two-three-four 
Uno-do'-tres-cuatro 
Rumba (si) 
Ella quiere su rumba (como?) 
Rumba (si) 
Ella quiere su rumba (como?) 
Si es verdad que tu ere guapa
Yo te voy a poner gozar 
Tu tienes la boca grande 
Dale ponte a jugar (como) 
One-two-three-four 
Uno-do'-tres-cuatro 
Mami got an ass like a donkey, with a monkey
Look like King Kong, welcome to the crib
305 that's what it is
With a woman down ya shh
Don't play games
They off the chain
And they let her do everything and anything, anything
And they love to gettin' it in, gettin' on
All night long (dale)
I know you want me (want me) 
You know I want you (want you) 
I know you want me 
You know I want you (want you) 
I know you want me (want me) 
You know I want you (want you) 
I know you want me 
You know I want you (want you) 
One-two-three-four 
Uno-do'-tres-cuatro 
Rumba (si) 
Ella quiere su rumba (como?) 
Rumba (si) 
Ella quiere su rumba (como?) 
Si es verdad que tu ere guapa
Yo te voy a poner gozar 
Tu tienes la boca grande 
Dale ponte a jugar (como) 
One-two-three-four 
Uno-do'-tres-cuatro 
Baby you can get it, if you with it we can play
Baby I got cribs, I got condos we can stay
Even got a king-size mattress we can lay
Baby I don't care, I don't care, what they say 
I know you want me (want me) 
You know I want you (want you) 
I know you want me 
You know I want you (want you) 
I know you want me (want me) 
You know I want you (want you) 
I know you want me 
You know I want you (want you) 
One-two-three-four 
Uno-do'-tres-cuatro 
Rumba (si) 
Ella quiere su rumba (como?) 
Rumba (si) 
Ella quiere su rumba (como?) 
Si es verdad que tu ere guapa
Yo te voy a poner gozar 
Tu tienes la boca grande 
Dale ponte a jugar (como) 
One-two-three-four 
Uno-do'-tres-cuatro
"
18,Live Your Life,T.I. Featuring Rihanna,2009,T.I.,https://www.azlyrics.com/lyrics/ti/liveyourlife.html,"

[Rihanna:]
You're gonna be a shining star with fancy clothes, fancy car-ars.
And then you'll see, you're gonna go far.
'Cause everyone knows just who you are-are.
So live your life, ay, ay, ay.
You steady chasing that paper.
Just live your life, oh, ay, ay, ay.
Ain't got no time for no haters.
Just live your life, oh, ay, ay, ay.
No telling where it'll take you.
Just live your life, oh, ay, ay, ay.
'Cause I'm a paper chaser.
Just living my life (ay), my life (oh), my life (ay), my life (oh)
Just living my life (ay), my life (oh), my life (ay), my life (oh)[T.I.:]
Never mind what haters say,
Ignore them 'til they fade away.
Amazing they ungrateful after all the game I gave away.
Safe to say I paved the way for you cats to get paid today.
You still be wasting days away, nah had I never saved the day.
Consider them my protégé, homage I think they should pay.
Instead of being gracious, they violate in a major way.
I never been a hater still I love them in a crazy way.
Some say they sold the yay and no they couldn't even work on Labor Day.
It ain't that black and white, it has an area that's shaded grey.
I'm Westside anyway, even if I left today and stayed away.
Some move away to make a way not move away 'cause they afraid.
I brought back to the hood and all you ever did was take away.
I pray for patience but they make me wanna melt their face away.
Like I once made them spray, now I could make them plead their case away.
Been thuggin' all my life, can't say I don't deserve to take a break.
You'd rather see me catch a case and watch my future fade away.[Rihanna:]
You're gonna be a shining star, with fancy clothes, fancy car-ars.
And then you'll see, you're gonna go far.
'Cause everyone knows, who you are-are.
So live your life, ay, ay, ay.
You steady chasing that paper.
Just live your life, oh, ay, ay, ay.
Ain't got no time for no haters
Just live your life, oh, ay, ay, ay.
No telling where it'll take you.
Just live your life, oh, ay, ay, ay.
'Cause I'm a paper chaser.
Just living my life.[T.I.:]
I'm the opposite of moderate,
Immaculately polished with the spirit of a hustler and the swagger of a college kid.
Allergic to the counterfeit, impartial to the politics.
Articulate but still would grab a nigga by the collar quick.
Whoever having problems with their record sales just holla tip.
If that don't work and all else fails, then turn around and follow tip.
I got love for the game but ay I'm not in love with all of it.
Could do without the fame and the rappers nowadays are comedy.
The hootin' and the hollerin' back and forth with the arguing.
Where you from, who you know, what you make and what kind of car you in.
Seems as though you lost sight of what's important when depositin'.
The cheques into your bank account and you up out of poverty.
Your values is a disarray, prioritizing horribly.
Unhappy with the riches 'cause your piss poor morally.
Ignoring all prior advice and fore warning.
And we mighty full of ourselves all of a sudden aren't we?[Rihanna:]
You're gonna be a shining star, with fancy clothes, fancy car-ars.
And then you'll see, you're gonna go far.
'Cause everyone knows, who you are-are.
So live your life, ay, ay, ay.
You steady chasing that paper.
Just live your life, oh, ay, ay, ay.
Ain't got no time for no haters
Just live your life, oh, ay, ay, ay.
No telling where it'll take you.
Just live your life, oh, ay, ay, ay.
'Cause I'm a paper chaser.
Just living my life (ay), my life (oh), my life (ay), my life (oh)
Just living my life (ay), my life (oh), my life (ay), my life (oh)
Now everybody watchin' what I do.
Come walk in my shoes,
And see the way I'm livin' if you really want to.
I got my mind on my money and I not goin' away.
So keep on gettin' your paper and keep on climbin'.
Look in the mirror and keep on shinin'.
'Til the game ends, 'til the clock stops.
We gonna post up on the top spot.
So live your life.
"
19,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,2009,Soulja Boy Tell 'em,NA,NA
20,Down,Jay Sean Featuring Lil Wayne,2009,Jay Sean,https://www.azlyrics.com/lyrics/jaysean/down.html,"

Baby, are you down?
Down, down
Even if the sky is fallin' down
Down, down
You ought to know
Tonight is the night to let it go
Put on a show
I wanna see how you lose control
So leave it behind 'cause we have a night to get away
So come on and fly with me as we make our great escape
So, baby, don't worry
You are my only
You won't be lonely
Even if the sky is falling down
You'll be my only
No need to worry
Baby, are you down?
Down, down
Baby, are you down?
Down, down
Even if the sky is falling down
Just let it be
Come on and bring your body next to me
I'll take you away
Turn this place into our private getaway
So leave it behind 'cause we have a night to get away
So come on and fly with me as we make our great escape
So why don't we run away
Baby, don't worry
You are my only
You won't be lonely
Even if the sky is falling down
You'll be my only
No need to worry
Baby, are you down?
Down, down
Baby, are you down?
Down, down
You're down
Even if the sky is falling down[Lil Wayne:]
Down like she's suppose to be
She gets down low for me
Down like her temperature
'Cause to me she's zero degree
She's cold, over-freeze
I got that girl from overseas
Now she's my Miss America
Now can I be her soldier, please?
I'm fighting for this girl
On the battlefield of love
Don't it look like baby Cupid
Sending arrows from above?
Don't you ever leave the side of me
And definitely, not probably
And honestly
I'm down like the economy
Baby, don't worry
You are my only
You won't be lonely
Even if the sky is falling down
You'll be my only
No need to worry
Baby, are you down
(the sky is falling down)
Down, down
Baby, are you down
Down, down
(the sky is falling down)
Even if the sky is falling down
And the sky is falling down
"
21,The Climb,Miley Cyrus,2009,Miley Cyrus,https://www.azlyrics.com/lyrics/mileycyrus/theclimb.html,"

I can almost see it
That dream I'm dreaming
But there's a voice inside my head sayin'
""You'll never reach it""
Every step I'm takin'
Every move I make feels lost with no direction
My faith is shakin'
But I, I gotta keep tryin'
Gotta keep my head held high
There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Sometimes I'm gonna have to lose
Ain't about how fast I get there
Ain't about what's waitin' on the other side
It's the climb
The struggles I'm facing
The chances I'm taking
Sometimes might knock me down
But no, I'm not breaking
I may not know it
But these are the moments
That I'm gonna remember most, yeah
Just gotta keep goin'
And I, I gotta be strong
Just keep pushing on
'Cause
There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Sometimes I'm gonna have to lose
Ain't about how fast I get there
Ain't about what's waitin' on the other side
It's the climb
Yeah
There's always gonna be another mountain
I'm always gonna wanna make it move
Always gonna be an uphill battle
Somebody's gonna have to lose
Ain't about how fast I get there
Ain't about what's waitin' on the other side
It's the climb
Yeah, yeah, yeah
Keep on movin'
Keep climbin'
Keep the faith, baby
It's all about — it's all about the climb
Keep the faith, keep your faith, whoa, whoa, oh
"
22,Best I Ever Had,Drake,2009,Drake,https://www.azlyrics.com/lyrics/nickiminaj/bestieverhadremix.html,"

Baby you my everything
You all I ever wanted
We could do it real big
Bigger then you ever done it
You be up on everything
Other hoes ain't never on it
I want this forever
I swear, I can spend whatever on it
Cause she hold me down every time I hit her up
When I get right I promise that we gone live it up
She make me beg for it, till she give it up
And I say the same thing every single time
I say[Chorus:]
You the fucking best [x4]
You the best I ever had
Best I ever had [x3]
I said you the fucking best.[Drake:]
Know you got a roommate
Call me when there's no one there
Put the key under the mat and you know I'll be over there
(Yup!)
I be over there
Shawty I be over there
I be hittin' all the spots that you ain't even know was there
(Ha!)
And you don't even have to ask twice
You can have my heart, or we could share it like the last slice
Always felt like you were so accustomed to the fast life
Have a nigga thinking that he met you in a past life
Sweat pants, hair tied, chillin' with no make up on
That's when you're the prettiest
I hope that you don't take it wrong
You don't even trip when friends say, ""you ain't bringing Drake along?""
You know that I'm working
I'll be there soon as I make it homeeeee
And she a patient in my waiting room
Never pay attention to the rumors and what they assume
And until them girls prove it
I'm the one they never get confused with cause[Bridge:]
Baby you my everything
You all I ever wanted
We could do it real big
Bigger then you ever done it
You be up on everything
Other hoes ain't never on it
I want this forever
I swear, I can spend whatever on it
Cause she hold me down every time I hit her up
When I get right I promise that we gone live it up
She make me beg for it, till she give it up
And I say the same thing every single time
I say[Chorus:]
You the fucking best [x4]
You the best I ever had
Best I ever had [x3]
I said you the fucking best.[Nicki Minaj:]
Ayo you the only one that see the real nicki
I can show you chill nicki cause of how you deal with me
And they knock my blocks down you come and you build with me
Even though you real busy he's that fucking real drizzy
It's so amazing I figured out this world is ours for the taking
I figured out that when I go out and those people scream
That some of them are living bi-curiously thru me
That's why I put the s on my chest and I'm gone
But on another note let's have sex in my dorm
And I'm a' make you beg cause you look pretty when you begging
So meet me on the campus I'll be there around eleven
So let me put my books down
Excuse me if I look down
Guess I'm a little nervous
When I'm at your service
Look at what you took downnnnnnnnn[Bridge: Nicki Minaj]
Baby you my everything
You all I ever wanted
We can do it real big
Bigger then you ever done it
You be up on everything
Other niggas never on it
I want this forever
I swear I could spend whatever on it
That's why I hold you down
Every time you hit me up
When I get right I promise that we gone live it up
I make you beg for it
Until I give it up
You say the same thing every single time[Chorus:]
You the fucking best [x4]
You the best I ever had
Best I ever had [x3]
I said you the fucking best.[Drake:]
Sex, love, pain
Baby I be on that Tank shit
Buzz so big, I could prolly sell a blank disc
When my album drop bitches will buy it for the pictures
And niggas will buy it to and claim they got it for they sister
Magazine, paper girl well money ain't the issue
They bring dinner to my room and ask me to initial
She call me the referee cause I be so official
My shirt ain't got no stripes but I could make your pussy whistleeee
Like the Andy Griffith theme song
Who told you to put them jeans on?
Double cup love, you the one I lean on
Feelin' for a fix then you should really get your feen on
Yeah, just know my condo is the crack spot
Every single show, she out there reppin' like a mascot
Get it from the back and make your fucking bra strap pop
All up in yah slot till a nigga hit the jackpot
I'm sayin[Bridge:]
Baby you my everything
You all I ever wanted
We could do it real big
Bigger then you ever done it
You be up on everything
Other hoes ain't never on it
I want this forever
I swear, I can spend whatever on it
Cause she hold me down every time I hit her up
When I get right I promise that we gone live it up
She make me beg for it, till she give it up
And I say the same thing every single time
I say[Chorus:]
You the fucking best [x4]
You the best I ever had
Best I ever had [x3][Talking:]
Uhh.
Ahh Yeah
See this the type of joint you gotta dedicate to somebody,
Just make sure they that special somebody.
Young money
"
23,My Life Would Suck Without You,Kelly Clarkson,2009,Kelly Clarkson,https://www.azlyrics.com/lyrics/kellyclarkson/mylifewouldsuckwithoutyou.html,"

Guess this means you're sorry
You're standing at my door
Guess this means you take back
All you said before
Like how much you wanted
Anyone but me
Said you'd never come back
But here you are again
'Cause we belong together now, yeah
Forever united here somehow, yeah
You got a piece of me
And honestly
My life (my life) would suck (would suck) without you
Maybe I was stupid for telling you goodbye
Maybe I was wrong for trying to pick a fight
I know that I've got issues
But you're pretty messed up too
Either way I found out
I'm nothing without you
'Cause we belong together now, yeah
Forever united here somehow, yeah
You got a piece of me
And honestly
My life (my life) would suck (would suck) without you
Being with you is so dysfunctional
I really shouldn't miss you
But I can't let you go
Oh, yeah
'Cause we belong together now, yeah
Forever united here somehow, yeah
You got a piece of me
And honestly
My life (my life) would suck (would suck) without you
'Cause we belong together now, yeah (together now)
Forever united here somehow, yeah
You got a piece of me
And honestly
My life (my life) would suck (would suck) without you
"
24,Halo,Beyonce,2009,Beyoncé,https://www.azlyrics.com/lyrics/beyonceknowles/halo.html,"

Remember those walls I built?
Well, baby they're tumbling down
And they didn't even put up a fight
They didn't even make a sound
I found a way to let you in
But I never really had a doubt
Standing in the light of your halo
I got my angel now
It's like I've been awakened
Every rule I had you breakin'
It's the risk that I'm taking
I ain't never gonna shut you out!
Everywhere I'm looking now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo...
Halo, ooh ooh...
Hit me like a ray of sun
Burning through my darkest night
You're the only one that I want
Think I'm addicted to your light
I swore I'd never fall again
But this don't even feel like falling
Gravity can't begin to pull me back to the ground again
And it's like I've been awakened
Every rule I had you breakin'
It's the risk that I'm taking
I'm never gonna shut you out!
Everywhere I'm looking now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo...
Halo, ooh ooh...
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo...
Halo, ooh ooh...
Halo, ooh ooh...
Halo, ooh ooh, oh...
Everywhere I'm looking now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my saving grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo...
Halo, ooh oh...
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo...
Halo, ooh oh...
"
25,Hot N Cold,Katy Perry,2009,Katy Perry,https://www.azlyrics.com/lyrics/katyperry/hotncold.html,"

You change your mind like a girl changes clothes
Yeah, you PMS like a bitch I would know
And you over-think always speak cryptically
I should know that you're no good for me
'Cause you're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down
You're wrong when it's right
It's black and it's white
We fight, we break up
We kiss, we make up
(You) You don't really wanna stay, no
(You) But you don't really wanna go
You're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down
We used to be just like twins so in sync
The same energy now's a dead battery
Used to laugh 'bout nothing, now you're plain boring
I should know that you're not gonna change
'Cause you're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down
You're wrong when it's right
It's black and it's white
We fight, we break up
We kiss, we make up
(You) You don't really wanna stay, no
(You) But you don't really wanna go
You're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down
Someone call the doctor
Got a case of a love bipolar
Stuck on a roller coaster
Can't get off this ride
You change your mind
Like a girl changes clothes
'Cause you're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down
You're wrong when it's right
It's black and it's white
We fight, we break up
We kiss, we make up
You're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down
You're wrong when it's right
It's black and it's white
We fight, we break up
We kiss, we make up
(You) You don't really wanna stay, no
(You) But you don't really wanna go
You're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down, down
"
26,Second Chance,Shinedown,2009,Shinedown,https://www.azlyrics.com/lyrics/shinedown/secondchance.html,"

My eyes are open wide
By the way
I made it through the day
I watched the world outside
By the way
I'm leaving out today
I just saw Halley's comet
She waved
Said, ""Why you always running in place?""
Even the man in the moon disappeared
Somewhere in the stratosphere
Tell my mother
Tell my father
I've done the best I can
To make them realize
This is my life
I hope they understand
I'm not angry, I'm just saying
Sometimes goodbye is a second chance
Please don't cry one tear for me
I'm not afraid
Of what I have to say
This is my one and only voice
So listen close
It's only for today
I just saw Halley's comet
She waved
Said, ""Why you always running in place?""
Even the man in the moon disappeared
Somewhere in the stratosphere
Tell my mother
Tell my father
I've done the best I can
To make them realize
This is my life
I hope they understand
I'm not angry, I'm just saying
Sometimes goodbye is a second chance
Here's my chance
This is my chance
Tell my mother
Tell my father
I've done the best I can
To make them realize
This is my life
I hope they understand
I'm not angry, I'm just saying
Sometimes goodbye is a second chance
Sometimes goodbye is a second chance
Sometimes goodbye is a second chance
"
27,Circus,Britney Spears,2009,Britney Spears,https://www.azlyrics.com/lyrics/britneyspears/circus.html,"

There's only two types of people in the world
The ones that entertain, and the ones that observe
Well baby I'm a put-on-a-show kinda girl
Don't like the backseat, gotta be first
I'm like the ringleader
I call the shots
(call the shots)
I'm like a firecracker
I make it hot
When I put on a show
I feel the adrenaline moving through my veins
Spotlight on me and I'm ready to break
I'm like a performer, the dance floor is my stage
Better be ready, hope that you feel the same
All the eyes on me in the center of the ring
Just like a circus
When I crack that whip, everybody gonna trip
Just like a circus
Don't stand there watching me, follow me
Show me what you can do
Everybody let go, we can make a dance floor
Just like a circus
There's only two types of guys out there
Ones that can hang with me, and ones that are scared
So baby I hope that you came prepared
I run a tight ship, so beware
I'm like a ring leader
I call the shots
(call the shots)
I'm like a fire cracker
I make it hot
When I put on a show
I feel the adrenaline moving through my veins
Spotlight on me and I'm ready to break
I'm like a performer, the dance floor is my stage
Better be ready, hope that you feel the same
All the eyes on me in the center of the ring
Just like a circus
When I crack that whip
Everybody gonna trip
Just like a circus
Don't stand there watching me, follow me
Show me what you can do
Everybody let go
We can make a dance floor
Just like a circus
Let's go
Let me see what you can do
I'm running this
(like, like like a circus)
Yeah, like a what?
(like, like like a circus)
All the eyes on me in the center of the ring
Just like a circus
When I crack that whip
Everybody gonna trip
Just like a circus
Don't stand there watching me, follow me
Show me what you can do
Everybody let go
We can make a dance floor
Just like a circus
All the eyes on me in the center of the ring
Just like a circus
When I crack that whip
Everybody gonna trip
Just like a circus
Don't stand there watching me, follow me
Show me what you can do
Everybody let go
We can make a dance floor
Just like a circus
"
28,Day 'N' Nite,Kid Cudi,2009,Kid Cudi,https://www.azlyrics.com/lyrics/kidcudi/daynnite.html,"

[Kid Cudi:]
Day and night.
What, what?
I toss and turn, I keep stressing my mind, mind.
What, what?
I look for peace but see I don't attain.
What, what?
What I need for keeps this silly game we play, play.
Now look at this—what, what?—madness.
The magnet keeps attracting me, me.
What, what?
I try to run but see I'm not that fast.
What, what?
I think I'm first but surely finish last, last.[Chorus:]
'Cause day and night
The lonely stoner seems to free his mind at night[Video version:] The lonely loner seems to free his mind at night
He's all alone through the day and night
The lonely loner seems to free his mind at night, at, at, at night.
Day and night
The lonely stoner seems to free his mind at night[Video version:] The lonely loner seems to free his mind at night
He's all alone, some things will never change, never change.
The lonely loner seems to free his mind at night, at, at, at night[Kid Cudi:]
Hold the phone.
What, what?
The lonely stoner, Mr. Solo Dolo.
What, what?
He's on the move can't seem to shake the shade.
What, what?
Within his dreams he sees the life he made, made.
The pain is deep.
What, what?
A silent sleeper you won't hear a peep, peep.
What, what?
The girl he wants don't seem to want him too.
What, what?
It seems the feelings that she had are through, through[Chorus][Kid Cudi:]
Slow mo.
What, what?
When the tempo slows up and creates that new, new.
What, what?
He seems alive though he is feeling blue.
What, what?
The sun is shining. Man, he's super cool, cool
The lonely nights.
What, what?
They fade away he slips into his white Nikes.
What, what?
He smokes a clip and then he's on the way.
What, what?
To free his mind in search of—
To free his mind in search of—
To free his mind in search of—[Chorus]
At, at, at night
"
29,Party In The U.S.A.,Miley Cyrus,2009,Miley Cyrus,https://www.azlyrics.com/lyrics/tokyopoliceclub/partyintheusa.html,"

I hopped off the plane at LAX
with a dream and my cardigan
welcome to the land of fame excess, (woah)
am I gonna fit in?
Jumped in the cab,
Here I am for the first time
Look to my right and I see the Hollywood sign
This is all so crazy
Everybody seems so famous
My tummys turnin and I'm feelin kinda home sick
Too much pressure and I'm nervous,
That's when the taxi man turned on the radio
and a Jay Z song was on
and the Jay Z song was on
and the Jay Z song was on[Chorus:]
So I put my hands up
They're playing my song,
And the butterflys fly away
Noddin' my head like yeah
Moving my hips like yeah,
And I got my hands up,
They're playin my song
I know I'm gonna be ok
Yeah, It's a party in the USA
Yeah, It's a party in the USA
Get to the club in my taxi cab
Everybody's lookin at me now
Like ""who's that chick, thats rockin' kicks?
She gotta be from out of town""
So hard with my girls not around me
Its definitely not a Nashville party
Cause' all I see are stilletos
I guess I never got the memo
My tummys turnin' and I'm feelin' kinda home sick
Too much pressure and I'm nervous
That's when the D.J. dropped my favorite tune
and a Britney song was on
and the Britney song was on
and the Britney song was on[Chorus:]
So I put my hands up
They're playing my song,
And the butterflys fly away
Noddin' my head like yeah
Moving my hips like yeah,
And I got my hands up,
They're playin my song
I know I'm gonna be ok
Yeah, It's a party in the USA
Yeah, It's a party in the USA
Feel like hoppin' on a flight (on a flight)
Back to my hometown tonight (town tonight)
Something stops me everytime (everytime)
The DJ plays my song and I feel alright![Chorus:]
So I put my hands up
They're playing my song,
And the butterflys fly away
Noddin' my head like yeah (Oh, nodding my head)
Moving my hips like yeah, (Ooh Yeah)
And I got my hands up,
They're playin' my song
I know I'm gonna be ok (gonna be okay)
Yeah (huh huh), It's a party in the USA (Yeah)
Yeah, It's a party in the USA
So I put my hands up
They're playing my song,
And the butterflys fly away (flying away)
Noddin' my head like yeah (nodding my head like yeah)
Moving my hips like yeah, (moving my hips like yeah)
And I got my hands up,
They're playin' my song
I know I'm gonna be ok (I'm gonna be okay)
Yeah (Yeah), It's a party in the USA
Yeah (hahaha), It's a party in the USA (Party in the USA!)
"
30,Don't Trust Me,3OH!3,2009,3OH!3,NA,NA
